image_name,A/B,S or A,50/100/150,W/I/O,On/Off,H/P,Broken,Damaged,Foreign Matter,Healthy,Immature,Potiya,Shrivelled,Wevilled
IMG_8164.JPG,Dataset_A,APPLE,50,WAREHOUSE,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8163.JPG,Dataset_A,APPLE,50,WAREHOUSE,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8162.JPG,Dataset_A,APPLE,50,WAREHOUSE,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8165.JPG,Dataset_A,APPLE,50,WAREHOUSE,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8161.JPG,Dataset_A,APPLE,50,WAREHOUSE,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8269.JPG,Dataset_A,APPLE,50,SUNLIGHT,PAPER,IMG_8269.JPG,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8268.JPG,Dataset_A,APPLE,50,SUNLIGHT,PAPER,IMG_8268.JPG,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8272.JPG,Dataset_A,APPLE,50,SUNLIGHT,PAPER,IMG_8272.JPG,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8271.JPG,Dataset_A,APPLE,50,SUNLIGHT,PAPER,IMG_8271.JPG,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8270.JPG,Dataset_A,APPLE,50,SUNLIGHT,PAPER,IMG_8270.JPG,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8084.JPG,Dataset_A,APPLE,50,INDOOR,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8080.JPG,Dataset_A,APPLE,50,INDOOR,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8081.JPG,Dataset_A,APPLE,50,INDOOR,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8083.JPG,Dataset_A,APPLE,50,INDOOR,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
IMG_8082.JPG,Dataset_A,APPLE,50,INDOOR,FLASH ON,PAPER,0.9105523,0.00078259397,0.04765382,0.00013615198,0.0022955772,3.6507932e-05,1.3990403e-05,0.03852913
